issue_id,first_seen,category,finding,severity,status,affected_scope,recommendation,effort,timeframe,owner,resolved_month
ST-01,2026-06,On-page / Headings,Homepage lacks a clear semantic H1 (interior pages have one).,High,Confirmed,https://sportingtech.com/,Add one descriptive H1 to the homepage (brand + primary term).,S,Quick win,Dev,
ST-02,2026-06,On-page / Headings,Headings split into styled spans remove word spacing (“Raiseyourgame”) and fragment into stacked H2s.,High,Confirmed,"Home, /platform/casino/, /platform/sportsbook/ (pattern sitewide)",Rebuild as single headings with normal spacing and a clean H1→H2→H3 order.,M,Short-term,Dev,
ST-03,2026-06,Performance / CWV,"Images served as JPG/PNG, not next-gen WebP/AVIF.",High,Confirmed,"Home, Sportsbook, Casino (image-heavy templates)",Convert to WebP/AVIF with responsive sizes; biggest LCP win.,M,Short-term,Dev,
ST-04,2026-06,Performance / CWV,Homepage hero loads a large brand film (.webm) — LCP/bandwidth risk.,High,Confirmed,https://sportingtech.com/,"Ensure deferred/lazy load, poster image, not blocking LCP; consider compressed loop.",S,Quick win,Dev,
ST-05,2026-06,Indexation,"Legacy /about-us/ page still indexed, outside main nav, outdated content (old “Quantum” naming).",High,Confirmed,https://sportingtech.com/about-us/,301 to /why-sportingtech/ OR refresh & re-link; treat as orphan/duplicate-intent.,S,Quick win,SEO,
ST-06,2026-06,International,hreflang reciprocity across EN/PT/ES not verified; og:locale hard-set to en_US.,High,Verify,All localised URLs (WPML),Confirm reciprocal hreflang + x-default and per-locale og:locale and <html lang>.,M,Short-term,SEO + Dev,
ST-07,2026-06,On-page / Images,"Inconsistent/missing image alt text (e.g. Genius Sports logo, “Built for performance” image empty alt).",Medium,Confirmed,/platform/sportsbook/ and others,Populate descriptive alt on meaningful images; keep decorative alt intentionally empty.,S,Quick win,Content,
ST-08,2026-06,Crawlability,robots.txt contents not confirmed remotely.,Medium,Verify,/robots.txt,"Confirm exists, not blocking CSS/JS or PT/ES paths, references sitemap.",S,Quick win,SEO,
ST-09,2026-06,Crawlability,XML sitemap not confirmed remotely (Yoast index likely).,Medium,Verify,/sitemap_index.xml (expected),"Confirm sitemap lists EN/PT/ES, excludes redirects/404s; submit in Search Console.",S,Quick win,SEO,
ST-10,2026-06,Performance / CWV,No field Core Web Vitals baseline (LCP/INP/CLS).,Medium,Verify,"Key templates, mobile & desktop",Run Lighthouse + CrUX/PSI; re-test after image/video fixes. No numbers assumed.,S,Short-term,SEO,
ST-11,2026-06,Structured data,JSON-LD schema graph completeness not confirmed.,Medium,Verify,Sitewide + /resources/ posts,"Validate Organization(+sameAs,address), WebSite(SearchAction), BreadcrumbList; add Article to news.",M,Short-term,Dev,
ST-12,2026-06,Measurement,GA4 firing through GTM not confirmed across locales.,Medium,Verify,GTM-MSVC2HVH,Verify GA4 config + key conversions (demo/contact) across EN/PT/ES.,S,Quick win,SEO + Dev,
ST-13,2026-06,On-page / Meta,Some Google snippets fall back to generic tagline (page descriptions are present/unique).,Low,Verify,Secondary pages & PT/ES trees,Confirm via full crawl no genuinely missing descriptions; otherwise Google snippet rewrite.,S,Short-term,SEO,
ST-14,2026-06,On-page / Content,"Production images use placeholder file names (placeholder-mobiles, placeholder-laptop-girl).",Low,Confirmed,"Home, Sportsbook, Casino",Confirm finals are in place; rename/replace placeholder assets.,S,Quick win,Content,
ST-15,2026-06,Indexation,/resources/ paginated to 11 pages — pagination canonical handling unconfirmed.,Low,Verify,/resources/page/2..11/,Confirm paginated pages self-canonicalise (not back to page 1).,S,Short-term,SEO,
ST-16,2026-06,Security,HSTS / CSP headers and exposed-file check not confirmed.,Low,Verify,Server headers,"Confirm HSTS, CSP, and no exposed .env/.git/staging.",S,Short-term,Dev,
ST-17,2026-06,On-page / Keywords,"H1s are brand-creative, not keyword-aligned.",Low,Action,Money pages,Layer target terms (e.g. “Casino Software Platform”) into H1/intro.,M,Ongoing,SEO + Content,
